OrderID,OrderDate,Region,City,Store,SalesChannel,CustomerID,Model,Variant,Color,StorageGB,WarrantyMonths,Serial,PaymentMethod,ListPrice,DiscountPct,DiscountAmount,FinalUnitPrice,Quantity,TotalAmount,SalesRep
ORD-00924,2023-02-09 02:29,North America,,Croma,Online,CUST-399434,iPad Air (M2),128GB/Pink,Pink,128,24,452927555298MPB,Debit Card,599.0,9.52,57.03,541.97,2,1083.94,I. Wilson
ORD-00654,2023-02-12 05:58,India,Hyderabad,Lazada,Online,CUST-547266,iPhone 16 Plus,256GB/Green,Green,256,24,985950040242SYX,Debit Card,1033.85,8.31,85.91,947.94,1,947.94,D. Johnson
ORD-00265,2023-02-13 06:45,North America,,Walmart,Retail,CUST-391830,iPhone 14 Pro Max,128GB/Space Black,Space Black,128,12,866262201398NAA,EMI,1099.0,2.59,28.45,1070.55,1,1070.55,E. Brown
ORD-00977,2023-02-17 22:13,India,Coimbatore,Jumia,Retail,CUST-958863,iPhone 16,256GB/Starlight,Starlight,256,12,877677484028XVT,Cash,918.85,2.62,24.05,894.8,3,2684.4,M. Das
ORD-00306,2023-02-18 07:32,North America,,Croma,Retail,CUST-404932,iPhone 15 Pro Max,1024GB/Red,Red,1024,12,379323442203QLY,UPI,1738.55,3.92,68.11,1670.44,2,3340.88,J. Park
ORD-00594,2023-02-19 06:16,India,Ahmedabad,Best Buy,Retail,CUST-144966,iPhone 16 Plus,128GB/Red,Red,128,12,757029582687RBG,UPI,899.0,6.0,53.96,845.04,3,2535.12,R. Sharma
ORD-00674,2023-02-19 23:25,Europe,,Best Buy,Online,CUST-582089,iPhone SE (3rd Gen),64GB/White,White,64,24,488804698700EED,EMI,429.0,6.43,27.6,401.4,3,1204.2,F. Garcia
ORD-00731,2023-02-21 01:58,North America,,eBay Store,Retail,CUST-273020,iPhone SE (3rd Gen),64GB/Midnight,Midnight,64,24,864203988024HUY,Cash,429.0,6.78,29.1,399.9,1,399.9,K. Davis
ORD-00562,2023-02-22 17:23,India,Pune,Flipkart Online,Online,CUST-869318,iPad Air (M2),1024GB/Starlight,Starlight,1024,12,818672621718RMM,Credit Card,868.55,6.89,59.85,808.7,3,2426.1,D. Johnson
ORD-00898,2023-02-22 18:48,South East Asia,,Noon,Online,CUST-746843,iPhone 16,256GB/Space Black,Space Black,256,12,034760204093TPK,UPI,918.85,9.51,87.35,831.5,1,831.5,H. Martin
ORD-00513,2023-02-23 20:30,North America,,Apple Store,Online,CUST-271757,iPhone 15 Pro Max,128GB/Midnight,Midnight,128,24,844177112775RSJ,EMI,1199.0,9.22,110.5,1088.5,2,2177.0,P. Nair
ORD-00601,2023-02-24 12:07,India,Noida,eBay Store,Retail,CUST-352176,iPhone 16 Pro,128GB/Red,Red,128,12,885409746488NBU,Credit Card,1099.0,6.68,73.4,1025.6,2,2051.2,R. Sharma
ORD-00013,2023-02-25 16:19,India,Ahmedabad,Flipkart Online,Online,CUST-774147,iPhone 15,256GB/Red,Red,256,12,148525388853VGH,Credit Card,918.85,3.39,31.14,887.71,2,1775.42,H. Martin
ORD-00936,2023-02-25 19:56,India,Bengaluru,eBay Store,Online,CUST-724369,iPhone 15 Plus,512GB/Blue,Blue,512,24,497336466996GSK,Debit Card,1168.7,7.91,92.41,1076.29,2,2152.58,E. Brown
ORD-00700,2023-02-28 23:44,East Asia,,Flipkart Online,Retail,CUST-119567,iPhone 16 Pro,128GB/Titanium,Titanium,128,24,693664677320DLM,Credit Card,1099.0,1.13,12.46,1086.54,1,1086.54,P. Nair
ORD-00042,2023-03-01 20:25,Africa,,Reliance Digital,Carrier,CUST-681071,iPhone 16,256GB/Pink,Pink,256,12,831067924708EFR,Credit Card,918.85,6.6,60.68,858.17,2,1716.34,J. Park
ORD-00308,2023-03-03 06:20,Europe,,Walmart,Retail,CUST-225393,iPhone 16 Pro,128GB/Black,Black,128,24,885784111966RCJ,Net Banking,1099.0,5.79,63.6,1035.4,3,3106.2,K. Davis
ORD-00284,2023-03-03 07:41,Middle East,,Reliance Digital,Retail,CUST-303349,iPhone 14 Pro,1024GB/Blue,Blue,1024,12,365374001653KAR,Credit Card,1448.55,5.62,81.47,1367.08,3,4101.24,A. Kumar
ORD-00087,2023-03-05 13:01,South East Asia,,Apple Store,Online,CUST-557650,iPad Air (M2),512GB/Titanium,Titanium,512,24,815708931942PAS,Cash,778.7,6.64,51.7,727.0,2,1454.0,M. Das
ORD-00502,2023-03-07 06:02,Africa,,Flipkart Online,Carrier,CUST-857080,iPhone 16 Pro,128GB/Green,Green,128,12,298399663452WLW,Credit Card,1099.0,2.75,30.23,1068.77,1,1068.77,I. Wilson
ORD-00239,2023-03-08 02:50,Africa,,Amazon Online,Retail,CUST-356731,iPhone 14 Pro Max,128GB/Titanium,Titanium,128,12,282252333510RBR,Debit Card,1099.0,0.75,8.26,1090.74,1,1090.74,K. Davis
ORD-00244,2023-03-08 09:21,Middle East,,Flipkart Online,Retail,CUST-192249,iPhone 15 Pro,512GB/Black,Black,512,12,427683130626JLE,Credit Card,1298.7,0.7,9.09,1289.61,3,3868.83,H. Martin
ORD-00948,2023-03-09 08:23,South East Asia,,Apple Reseller,Online,CUST-573715,iPad Pro 11,512GB/Titanium,Titanium,512,24,644168500548QPU,Net Banking,1298.7,9.26,120.26,1178.44,1,1178.44,F. Garcia
ORD-00577,2023-03-09 09:51,India,Lucknow,Jumia,Enterprise,CUST-725469,iPhone 16 Pro Max,1024GB/White,White,1024,24,624865878501CAZ,Cash,1883.55,4.51,85.03,1798.52,1,1798.52,L. Chen
ORD-00940,2023-03-09 11:14,Africa,,Best Buy,Retail,CUST-512964,iPhone 15 Pro,512GB/Titanium,Titanium,512,12,623025124684YDM,EMI,1298.7,5.06,65.65,1233.05,1,1233.05,I. Wilson
ORD-00160,2023-03-13 08:42,Europe,,Walmart,Retail,CUST-126512,iPhone 14,128GB/Titanium,Titanium,128,24,523213482877HFM,Wallet,699.0,0.33,2.28,696.72,1,696.72,K. Davis
ORD-00188,2023-03-14 02:11,Latin America,,Best Buy,Online,CUST-750558,iPhone 15 Pro Max,128GB/Titanium,Titanium,128,24,967276398155SGK,UPI,1199.0,6.33,75.87,1123.13,3,3369.39,K. Davis
ORD-00497,2023-03-14 05:53,Latin America,,Apple Reseller,Retail,CUST-974214,iPhone 15 Plus,256GB/Pink,Pink,256,24,759487045501CQA,Net Banking,1033.85,0.62,6.46,1027.39,2,2054.78,E. Brown
ORD-00819,2023-03-15 20:22,Latin America,,Apple Store,Online,CUST-992335,iPhone 16 Plus,512GB/Blue,Blue,512,24,928318358009PGG,Debit Card,1168.7,9.35,109.24,1059.46,2,2118.92,M. Das
ORD-00516,2023-03-15 23:09,Europe,,Flipkart Online,Retail,CUST-660311,iPhone 14,256GB/Midnight,Midnight,256,24,991456746853JSH,Wallet,803.85,3.5,28.13,775.72,3,2327.16,D. Johnson
ORD-00935,2023-03-17 16:00,Europe,,Jumia,Retail,CUST-869281,iPhone 15 Pro,128GB/Red,Red,128,12,809346165038WXQ,Credit Card,999.0,4.54,45.35,953.65,1,953.65,M. Das
ORD-00269,2023-03-20 07:06,North America,,eBay Store,Online,CUST-309854,iPhone 16,256GB/Titanium,Titanium,256,24,007063308964BEQ,Credit Card,918.85,5.29,48.64,870.21,3,2610.63,E. Brown
ORD-00124,2023-03-21 08:22,North America,,Lazada,Online,CUST-162156,iPhone 16,128GB/White,White,128,12,800487012503XZK,Debit Card,799.0,4.45,35.59,763.41,1,763.41,L. Chen
ORD-00779,2023-03-22 10:35,South East Asia,,Amazon Online,Retail,CUST-394061,iPhone 15,128GB/Pink,Pink,128,24,805470666371WBB,Credit Card,799.0,2.09,16.73,782.27,3,2346.81,V. Gupta
ORD-00177,2023-03-23 14:30,India,Kolkata,Apple Reseller,Online,CUST-300083,iPhone 14 Pro Max,256GB/Starlight,Starlight,256,24,350098624108YPL,Credit Card,1263.85,6.56,82.94,1180.91,3,3542.73,F. Garcia
ORD-00221,2023-03-25 21:18,Middle East,,Amazon Online,Online,CUST-680753,iPhone 15 Pro Max,512GB/Midnight,Midnight,512,24,567113190171GUQ,Credit Card,1558.7,7.99,124.5,1434.2,2,2868.4,S. Singh
ORD-00823,2023-03-26 13:36,North America,,Amazon Online,Retail,CUST-524035,iPhone 16 Plus,256GB/Black,Black,256,24,475392779087WQA,UPI,1033.85,0.69,7.12,1026.73,1,1026.73,E. Brown
ORD-00069,2023-03-26 17:53,Africa,,Apple Store,Retail,CUST-894255,iPhone 14,256GB/Midnight,Midnight,256,12,051697846493PNX,EMI,803.85,3.63,29.2,774.65,1,774.65,H. Martin
ORD-00184,2023-03-27 00:44,East Asia,,Apple Store,Online,CUST-723176,iPad Air (M2),1024GB/Blue,Blue,1024,24,374126193915FMZ,Credit Card,868.55,7.35,63.85,804.7,1,804.7,P. Nair
ORD-00718,2023-03-27 15:23,Africa,,Flipkart Online,Online,CUST-186630,iPad Air (M2),128GB/Red,Red,128,24,836123578355ANY,Wallet,599.0,4.41,26.43,572.57,2,1145.14,J. Park
ORD-00593,2023-03-28 01:06,Europe,,Lazada,Retail,CUST-676814,iPhone SE (3rd Gen),128GB/White,White,128,24,283643122097ZJF,Credit Card,493.35,1.57,7.72,485.63,3,1456.89,P. Nair
ORD-00153,2023-03-28 22:26,India,Chennai,Noon,Authorized Reseller,CUST-111255,iPhone 14 Pro,256GB/Starlight,Starlight,256,24,048046190032RTU,Credit Card,1148.85,5.66,65.05,1083.8,1,1083.8,S. Singh
ORD-00027,2023-03-30 16:45,Africa,,Noon,Retail,CUST-350018,iPad Air (M2),1024GB/Red,Red,1024,24,124023448347SXF,UPI,868.55,1.69,14.71,853.84,2,1707.68,J. Park
ORD-00656,2023-03-31 07:02,East Asia,,Apple Store,Retail,CUST-782343,iPhone 15 Pro,1024GB/Titanium,Titanium,1024,12,612526061788DXV,Credit Card,1448.55,5.97,86.55,1362.0,3,4086.0,I. Wilson
ORD-00680,2023-04-03 09:27,India,Chennai,Lazada,Online,CUST-900075,iPhone 15 Pro,128GB/Space Black,Space Black,128,24,385581065066VSK,Debit Card,999.0,4.87,48.63,950.37,2,1900.74,M. Das
ORD-00077,2023-04-04 00:03,Europe,,Walmart,Retail,CUST-102742,iPhone 14 Pro Max,1024GB/Green,Green,1024,24,954185836949EGM,Credit Card,1593.55,6.2,98.75,1494.8,2,2989.6,V. Gupta
ORD-00926,2023-04-04 01:04,Middle East,,Apple Reseller,Retail,CUST-252657,iPhone 14,256GB/Pink,Pink,256,24,432153570369GML,Credit Card,803.85,3.55,28.51,775.34,1,775.34,V. Gupta
ORD-00681,2023-04-04 11:56,India,Lucknow,eBay Store,Enterprise,CUST-316232,iPhone SE (3rd Gen),128GB/Midnight,Midnight,128,12,597620764699MKV,Wallet,493.35,8.49,41.9,451.45,2,902.9,P. Nair
ORD-00750,2023-04-04 21:39,Europe,,Apple Store,Enterprise,CUST-264178,iPad Pro 11,512GB/White,White,512,24,897592006280CML,Debit Card,1298.7,6.48,84.12,1214.58,2,2429.16,R. Sharma
ORD-00863,2023-04-06 21:32,South East Asia,,Lazada,Retail,CUST-311765,iPhone 16 Plus,256GB/Black,Black,256,12,233706296518YLL,Credit Card,1033.85,2.84,29.33,1004.52,1,1004.52,E. Brown
ORD-00826,2023-04-07 00:40,North America,,Amazon Online,Authorized Reseller,CUST-138031,iPhone 14 Pro,256GB/Starlight,Starlight,256,24,193769184477DHU,UPI,1148.85,1.63,18.78,1130.07,1,1130.07,R. Sharma
ORD-00167,2023-04-07 07:43,Latin America,,Flipkart Online,Online,CUST-216588,iPad Air (M2),1024GB/Green,Green,1024,12,053516693481MPQ,Credit Card,868.55,7.75,67.35,801.2,1,801.2,P. Nair
ORD-00456,2023-04-08 20:17,South East Asia,,Target,Retail,CUST-717384,iPhone 14 Pro,128GB/Green,Green,128,12,079690256616HTS,UPI,999.0,4.7,46.92,952.08,1,952.08,E. Brown
ORD-00538,2023-04-09 22:39,Europe,,Flipkart Online,Retail,CUST-549253,iPhone 16 Pro,128GB/Black,Black,128,24,738921724419SYQ,UPI,1099.0,3.33,36.62,1062.38,1,1062.38,M. Das
ORD-00891,2023-04-11 15:30,India,Lucknow,Apple Reseller,Authorized Reseller,CUST-547921,iPad Air (M2),256GB/Red,Red,256,12,483938613804FRK,Credit Card,688.85,3.24,22.33,666.52,2,1333.04,V. Gupta
ORD-00612,2023-04-14 15:26,Oceania,,Target,Online,CUST-328814,iPhone 16 Plus,128GB/Black,Black,128,24,217369921421ZRA,Debit Card,899.0,7.87,70.77,828.23,1,828.23,S. Singh
ORD-00994,2023-04-14 23:52,Europe,,Croma,Carrier,CUST-117135,iPhone SE (3rd Gen),128GB/Black,Black,128,24,117696101062ERK,Debit Card,493.35,7.82,38.6,454.75,1,454.75,P. Nair
ORD-00922,2023-04-15 07:47,Latin America,,Reliance Digital,Retail,CUST-137803,iPhone 16,128GB/Midnight,Midnight,128,24,096085256782XGP,UPI,799.0,2.54,20.32,778.68,1,778.68,R. Sharma
ORD-00225,2023-04-15 23:20,Europe,,Jumia,Retail,CUST-108923,iPhone 16 Plus,512GB/Red,Red,512,12,816950437433UVQ,UPI,1168.7,6.07,70.9,1097.8,1,1097.8,L. Chen
ORD-00205,2023-04-17 06:54,Europe,,Croma,Retail,CUST-871235,iPhone 15 Plus,256GB/Blue,Blue,256,24,507262401202KES,Credit Card,1033.85,5.75,59.41,974.44,1,974.44,S. Singh
ORD-00881,2023-04-17 10:12,Europe,,Croma,Enterprise,CUST-282941,iPhone 16 Pro,1024GB/Black,Black,1024,12,910520238472XAT,Credit Card,1593.55,7.99,127.28,1466.27,3,4398.81,L. Chen
ORD-00107,2023-04-18 09:18,Oceania,,Walmart,Online,CUST-472431,iPad Pro 13,1024GB/Black,Black,1024,12,765848537153LYK,Credit Card,1883.55,8.57,161.36,1722.19,3,5166.57,F. Garcia
ORD-00995,2023-04-18 17:26,North America,,Reliance Digital,Online,CUST-196388,iPhone 16 Pro Max,1024GB/Blue,Blue,1024,12,539041945327JLG,Wallet,1883.55,4.08,76.84,1806.71,1,1806.71,P. Nair
ORD-00241,2023-04-19 23:29,East Asia,,Croma,Retail,CUST-972894,iPhone 16 Pro,256GB/Titanium,Titanium,256,24,926684981143HGU,Debit Card,1263.85,1.69,21.37,1242.48,2,2484.96,V. Gupta
ORD-00669,2023-04-22 04:00,Latin America,,eBay Store,Online,CUST-702719,iPhone 16 Plus,512GB/Starlight,Starlight,512,24,434762692457SYH,Debit Card,1168.7,7.11,83.09,1085.61,1,1085.61,D. Johnson
ORD-00222,2023-04-23 21:12,Latin America,,Target,Online,CUST-845600,iPhone 14 Pro Max,256GB/Blue,Blue,256,12,570869260255GSA,Wallet,1263.85,5.26,66.48,1197.37,2,2394.74,M. Das
ORD-00662,2023-04-24 08:26,South East Asia,,Apple Store,Online,CUST-296463,iPad Pro 11,128GB/Starlight,Starlight,128,12,889410515655YDF,Credit Card,999.0,9.11,91.0,908.0,1,908.0,M. Das
ORD-00334,2023-04-25 05:07,North America,,Amazon Online,Online,CUST-140907,iPhone 14 Pro Max,1024GB/Space Black,Space Black,1024,24,052172123953MDP,Debit Card,1593.55,7.85,125.12,1468.43,1,1468.43,F. Garcia
ORD-00052,2023-04-26 19:09,North America,,Reliance Digital,Retail,CUST-512572,iPad Pro 11,512GB/Space Black,Space Black,512,24,030926002675ZDC,Debit Card,1298.7,6.55,85.09,1213.61,2,2427.22,F. Garcia
ORD-00905,2023-05-01 11:14,Oceania,,Amazon Online,Retail,CUST-520472,iPhone SE (3rd Gen),64GB/Starlight,Starlight,64,24,919891272054BKP,Wallet,429.0,5.95,25.52,403.48,1,403.48,D. Johnson
ORD-00912,2023-05-02 06:26,North America,,Amazon Online,Enterprise,CUST-818800,iPhone 14 Pro,1024GB/Midnight,Midnight,1024,24,430477243650WDQ,Credit Card,1448.55,8.4,121.73,1326.82,1,1326.82,A. Kumar
ORD-00391,2023-05-03 18:55,Europe,,Apple Reseller,Authorized Reseller,CUST-152943,iPhone 15 Pro,1024GB/Red,Red,1024,12,333144147240KQH,Net Banking,1448.55,4.42,64.08,1384.47,1,1384.47,V. Gupta
ORD-00777,2023-05-04 16:47,North America,,Flipkart Online,Enterprise,CUST-565336,iPad Air (M2),1024GB/White,White,1024,12,630052160340FEZ,EMI,868.55,8.36,72.6,795.95,1,795.95,I. Wilson
ORD-00109,2023-05-04 16:58,East Asia,,Flipkart Online,Retail,CUST-670058,iPhone 15 Plus,512GB/Starlight,Starlight,512,24,969291307212BPD,Credit Card,1168.7,1.78,20.78,1147.92,3,3443.76,P. Nair
ORD-00886,2023-05-05 06:31,Europe,,Target,Authorized Reseller,CUST-156485,iPhone 14,128GB/Green,Green,128,24,337367224941MWL,UPI,699.0,2.56,17.89,681.11,1,681.11,H. Martin
ORD-00344,2023-05-05 07:10,India,Kolkata,Best Buy,Online,CUST-742633,iPad Pro 13,1024GB/Black,Black,1024,12,416897316750ZNH,Credit Card,1883.55,3.04,57.2,1826.35,2,3652.7,L. Chen
ORD-00952,2023-05-05 18:23,Latin America,,Best Buy,Online,CUST-996861,iPhone 15,128GB/Pink,Pink,128,12,214670297157QWY,Credit Card,799.0,3.34,26.7,772.3,2,1544.6,L. Chen
ORD-00119,2023-05-09 07:25,North America,,Noon,Enterprise,CUST-707744,iPhone 16 Pro Max,512GB/Titanium,Titanium,512,12,848578933331FYK,Credit Card,1688.7,6.79,114.64,1574.06,2,3148.12,F. Garcia
ORD-00178,2023-05-09 14:00,Europe,,eBay Store,Online,CUST-798460,iPad Pro 11,128GB/Pink,Pink,128,24,226407959371TLS,Credit Card,999.0,8.11,81.05,917.95,2,1835.9,L. Chen
ORD-00303,2023-05-10 19:03,Latin America,,Apple Store,Online,CUST-830466,iPhone 16 Plus,128GB/White,White,128,12,425587239802YPN,Wallet,899.0,3.21,28.87,870.13,2,1740.26,F. Garcia
ORD-00929,2023-05-17 01:08,India,Visakhapatnam,Noon,Online,CUST-855684,iPhone 15 Pro,256GB/Red,Red,256,12,754263843376ECT,Debit Card,1148.85,7.53,86.47,1062.38,1,1062.38,S. Singh
ORD-00067,2023-05-18 03:24,Oceania,,Apple Reseller,Retail,CUST-614336,iPhone 14,128GB/Blue,Blue,128,24,342075096192WHV,Credit Card,699.0,1.96,13.67,685.33,1,685.33,K. Davis
ORD-00628,2023-05-18 23:39,Africa,,eBay Store,Online,CUST-409451,iPhone 16 Pro,512GB/White,White,512,24,014550419459LHN,Debit Card,1428.7,8.79,125.62,1303.08,2,2606.16,L. Chen
ORD-00688,2023-05-19 04:14,Africa,,Croma,Authorized Reseller,CUST-149470,iPhone 15 Plus,256GB/Midnight,Midnight,256,24,191248606834UBQ,Credit Card,1033.85,5.08,52.48,981.37,1,981.37,J. Park
ORD-00286,2023-05-20 08:23,Middle East,,Reliance Digital,Online,CUST-565481,iPad Air (M2),256GB/White,White,256,12,735801837399NDB,Debit Card,688.85,5.22,35.96,652.89,1,652.89,H. Martin
ORD-00209,2023-05-22 01:12,India,Chennai,Target,Retail,CUST-633464,iPhone 16 Plus,256GB/Black,Black,256,24,068540507848LYP,Debit Card,1033.85,3.96,40.92,992.93,1,992.93,R. Sharma
ORD-00734,2023-05-22 03:41,North America,,Walmart,Online,CUST-408165,iPad Pro 11,1024GB/Black,Black,1024,24,858277882535EMX,Credit Card,1448.55,7.61,110.2,1338.35,2,2676.7,P. Nair
ORD-00720,2023-05-25 22:27,Europe,,Croma,Carrier,CUST-468742,iPhone 15 Pro,512GB/Midnight,Midnight,512,24,538118025444CMT,UPI,1298.7,1.76,22.81,1275.89,2,2551.78,H. Martin
